epoch,train_loss,validation_loss
1,0.05406436181908577,0.07605891392371728
2,0.0505599507202772,0.0725490000439679
3,0.050576490633376596,0.07268448875900548
4,0.050735242614640054,0.07290961454904973
5,0.05077670661866353,0.07298794796221834
6,0.05072396104146133,0.07295832332581582
7,0.05061538528444887,0.07286549079388249
8,0.05047706141467868,0.07273833217349107
9,0.05032461384301393,0.07259391825826729
10,0.050167096235572216,0.07244216381242284
11,0.05000968113357425,0.07228880780501054
12,0.04985527239506122,0.07213715135451935
13,0.04970544264808976,0.07198905728978197
14,0.04956097857982344,0.07184553006571874
15,0.04942220144818664,0.07170705746013273
